Username,Overall Comment,Conditional HW 2 (Advanced IF Statements) - J25  Comment,Conditional HW 1 (IF Statement) - J25 Comment,Chapter 4 HW (Automated Systems) - J25 Comment,Sequential & Conditional Classified (Week 4 Task) - J25  Comment
J25-EY1001,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1002,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 2","Not Submitted, you need to submit your homework","You submitted late, make sure to submit your homework before the deadline on time","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1004,You missed the following HW submissions: Conditional HW 2,"Not Submitted, you need to submit your homework",Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1005,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1006,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1008,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1009,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,Excellent performance,"Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1010,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1011,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1012,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1013,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,Excellent performance,"Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1014,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1015,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1016,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1017,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1019,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1020,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,Excellent performance,"Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1022,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1024,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1026,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1028,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports","Moderate performance, check your mistakes","Moderate performance, check your mistakes",Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1029,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports","You submitted late, make sure to submit your homework before the deadline on time","You submitted late, make sure to submit your homework before the deadline on time","Weak performance, you need to restudy the chapter and solve more questions from the classified","Submitted the weekly task, keep up the good work"
J25-EY1030,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1031,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,"Weak performance, you need to solve more questions and watch the explanantion video",Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1032,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,"Moderate performance, check your mistakes",Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1033,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1035,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1036,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports","Moderate performance, check your mistakes",Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1037,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1038,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,Excellent performance,"Not Submitted, you need to submit your homework","Submitted the weekly task, keep up the good work"
J25-EY1039,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,"Moderate performance, check your mistakes",Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1041,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports","Moderate performance, check your mistakes",Excellent performance,"Moderate performance, check your mistakes","Submitted the weekly task, keep up the good work"
J25-EY1043,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1044,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,"Weak performance, you need to restudy the chapter and solve more questions from the classified","Submitted the weekly task, keep up the good work"
J25-EY1045,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,"Weak performance, you need to restudy the chapter and solve more questions from the classified","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1046,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1047,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,Excellent performance,"Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1048,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports","You submitted late, make sure to submit your homework before the deadline on time",Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1049,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,"Moderate performance, check your mistakes",Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1051,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,"Moderate performance, check your mistakes","Weak performance, you need to restudy the chapter and solve more questions from the classified","Submitted the weekly task, keep up the good work"
J25-EY1052,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1053,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,Excellent performance,"Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1054,"You missed the following HW submissions: Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Weak performance, you need to restudy the chapter and solve more questions from the classified","Submitted the weekly task, keep up the good work"
J25-EY1055,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,Excellent performance,"Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1057,You missed the following HW submissions: Conditional HW 2,"Not Submitted, you need to submit your homework",Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1058,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1059,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1060,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1061,You missed the following HW submissions: Conditional HW 2,"Not Submitted, you need to submit your homework","Moderate performance, check your mistakes","Weak performance, you need to restudy the chapter and solve more questions from the classified","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1062,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1066,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1068,"You missed the following HW submissions: Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Moderate performance, check your mistakes","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1069,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1070,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,"Moderate performance, check your mistakes","Weak performance, you need to restudy the chapter and solve more questions from the classified","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1071,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,"Moderate performance, check your mistakes","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1072,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,Excellent performance,"Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1073,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,"Moderate performance, check your mistakes",Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1075,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,"Moderate performance, check your mistakes","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1076,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,"Weak performance, you need to restudy the chapter and solve more questions from the classified","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1077,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1078,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1079,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1080,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1081,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1083,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1084,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1085,You missed the following HW submissions: Chapter 4 HW Automated Systems,Excellent performance,"Moderate performance, check your mistakes","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1086,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1087,"Submitted a blank HW, you need to try to solve all the HW so you understand all the topics",Excellent performance,Excellent performance,You submitted the HW empty,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1088,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1089,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1090,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1091,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports","Moderate performance, check your mistakes","Moderate performance, check your mistakes","Moderate performance, check your mistakes","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1092,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1093,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1094,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1095,"You missed the following HW submissions: Chapter 4 HW Automated Systems, Conditional HW 1, Conditional HW 2","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1098,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1100,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1102,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,"Weak performance, you need to restudy the chapter and solve more questions from the classified","Submitted the weekly task, keep up the good work"
J25-EY1104,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1107,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,"Moderate performance, check your mistakes",Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1109,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1110,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1113,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1116,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,"Weak performance, you need to restudy the chapter and solve more questions from the classified","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1122,You missed the following HW submissions: Conditional HW 2,"Not Submitted, you need to submit your homework",Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1099,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1101,You missed the following HW submissions: Conditional HW 1,Excellent performance,"Not Submitted, you need to submit your homework","Moderate performance, check your mistakes","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1103,You missed the following HW submissions: Conditional HW 2,"Not Submitted, you need to submit your homework",Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1105,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"Submitted the weekly task, keep up the good work"
J25-EY1106,You missed the following HW submissions: Chapter 4 HW Automated Systems,"Weak performance, you need to solve more questions and watch the explanantion video","Moderate performance, check your mistakes","Not Submitted, you need to submit your homework","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1111,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,"Moderate performance, check your mistakes","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1112,You missed the following HW submissions: Conditional HW 2,"Not Submitted, you need to submit your homework","Weak performance, you need to solve more questions and watch the explanantion video","Weak performance, you need to restudy the chapter and solve more questions from the classified","You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1114,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports",Excellent performance,Excellent performance,Excellent performance,"You did not submit the classified task for this week, this is a weekly task that needs to be submitted"
J25-EY1115,"Consistent performance in the homework submissions, you submitted all the 3 homework submissions, check the comments within the reports","Moderate performance, check your mistakes",Excellent performance,"Moderate performance, check your mistakes","Submitted the weekly task, keep up the good work"
